City,Lat,Long,country,State
Abohar,30.144533,74.19552,India,Punjab
Adilabad,19.4,78.31,India,Telangana
Agartala,23.836049,91.279386,India,Tripura
Agra,27.187935,78.003944,India,Uttar Pradesh
Ahmadnagar,19.094571,74.738432,India,Maharashtra
Ahmedabad,23.025793,72.587265,India,Gujarat
Aizawl  ,23.736701,92.714596,India,Mizoram
Ajmer,26.452103,74.638667,India,Rajasthan
Akola,20.709569,76.998103,India,Maharashtra
Alappuzha,9.494647,76.331108,India,Kerala
Aligarh,27.881453,78.07464,India,Uttar Pradesh
Alipurduar,26.4835,89.522855,India,West Bengal
Allahabad,25.44478,81.843217,India,Uttar Pradesh
Alwar,27.566291,76.610202,India,Rajasthan
Ambala,30.360993,76.797819,India,Haryana
Amaravati,20.933272,77.75152,India,Maharashtra
Amritsar,31.622337,74.875335,India,Punjab
Asansol,23.683333,86.983333,India,West Bengal
Aurangabad,19.880943,75.346739,India,Maharashtra
Aurangabad,24.752037,84.374202,India,Bihar
Bakshpur,25.894283,80.792104,India,Uttar Pradesh
Bamanpuri,28.804495,79.040305,India,Uttar Pradesh
Baramula,34.209004,74.342853,India,Jammu and Kashmir
Barddhaman,23.255716,87.856906,India,West Bengal
Bareilly,28.347023,79.421934,India,Uttar Pradesh
Belgaum,15.862643,74.508534,India,Karnataka
Bellary,15.142049,76.92398,India,Karnataka
Bengaluru,12.977063,77.587106,India,Karnataka
Bhagalpur,25.244462,86.971832,India,Bihar
Bharatpur,27.215251,77.492786,India,Rajasthan
Bharauri,27.598203,81.694709,India,Uttar Pradesh
Bhatpara,22.866431,88.401129,India,West Bengal
Bhavnagar,21.774455,72.152496,India,Gujarat
Bhilai,21.209188,81.428497,India,Chhattisgarh
Bhilwara,25.347071,74.640812,India,Rajasthan
Bhiwandi,19.300229,73.058813,India,Maharashtra
Bhiwani,28.793044,76.13968,India,Haryana
Bhopal ,23.254688,77.402892,India,Madhya Pradesh
Bhubaneshwar,20.272411,85.833853,India,Odisha
Bhuj,23.253972,69.669281,India,Gujarat
Bhusaval,21.043649,75.785058,India,Maharashtra
Bidar,17.913309,77.530105,India,Karnataka
Bijapur,16.827715,75.718988,India,Karnataka
Bikaner,28.017623,73.314955,India,Rajasthan
Bilaspur,22.080046,82.155431,India,Chhattisgarh
Brahmapur,19.311514,84.792903,India,Odisha
Budaun,28.038114,79.126677,India,Uttar Pradesh
Bulandshahr,28.403922,77.857731,India,Uttar Pradesh
Calicut,11.248016,75.780402,India,Kerala
Chanda,19.950758,79.295229,India,Maharashtra
Chandigarh ,30.736292,76.788398,India,Chandigarh
Chennai,13.084622,80.248357,India,Tamil Nadu 
Chikka Mandya,12.545602,76.895078,India,Karnataka
Chirala,15.823849,80.352187,India,Andhra Pradesh
Coimbatore,11.005547,76.966122,India,Tamil Nadu 
Cuddalore,11.746289,79.764362,India,Tamil Nadu 
Cuttack,20.522922,85.78813,India,Odisha
Daman,20.414315,72.83236,India,Daman and Diu
Davangere,14.469237,75.92375,India,Karnataka
DehraDun,30.324427,78.033922,India,Uttarakhand
Delhi,28.651952,77.231495,India,Delhi
Dhanbad,23.801988,86.443244,India,Jharkhand
Dibrugarh,27.479888,94.90837,India,Assam
Dindigul,10.362853,77.975827,India,Tamil Nadu 
Dispur,26.135638,91.800688,India,Assam
Diu,20.715115,70.987952,India,Daman and Diu
Faridabad,28.411236,77.313162,India,Haryana
Firozabad,27.150917,78.397808,India,Uttar Pradesh
Fyzabad,26.775486,82.150182,India,Uttar Pradesh
Gangtok,27.325739,88.612155,India,Sikkim
Gaya,24.796858,85.003852,India,Bihar
Ghandinagar,23.216667,72.683333,India,Gujarat
Ghaziabad,28.665353,77.439148,India,Uttar Pradesh
Gopalpur,26.735389,83.38064,India,Uttar Pradesh
Gulbarga,17.335827,76.83757,India,Karnataka
Guntur,16.299737,80.457293,India,Andhra Pradesh
Gurugram,28.460105,77.026352,India,Haryana
Guwahati,26.176076,91.762932,India,Assam
Gwalior,26.229825,78.173369,India,Madhya Pradesh
Haldia,22.025278,88.058333,India,West Bengal
Haora,22.576882,88.318566,India,West Bengal
Hapur,28.729845,77.780681,India,Uttar Pradesh
Haripur,31.463218,75.986418,India,Punjab
Hata,27.592698,78.013843,India,Uttar Pradesh
Hindupur,13.828065,77.491425,India,Andhra Pradesh
Hisar,29.153938,75.722944,India,Haryana
Hospet,15.269537,76.387103,India,Karnataka
Hubli,15.349955,75.138619,India,Karnataka
Hyderabad,17.384052,78.456355,India,Telangana
Imphal,24.808053,93.944203,India,Manipur
Indore,22.717736,75.85859,India,Madhya Pradesh
Itanagar,27.102349,93.692047,India,Arunachal Pradesh
Jabalpur,23.174495,79.935903,India,Madhya Pradesh
Jaipur,26.913312,75.787872,India,Rajasthan
Jammu,32.735686,74.869112,India,Jammu and Kashmir
Jamshedpur,22.802776,86.185448,India,Jharkhand
